ingredient,pairings
beer (weighted),"['wine', 'sherry', 'white wine', 'mushroom', 'apple', 'rum', 'potato', 'rice', 'guava', 'tea']"
beer (n. moledules),"['tea', 'apple', 'chocolate', 'cocoa', 'white wine', 'coffee', 'rum', 'grape', 'sherry', 'mango']"
beer (word emb.),"['pork', 'kidney beans', 'caraway', 'okra', 'corn', 'horseradish', 'lima beans', 'beef', 'red wine', 'potato']"
beetroot (weighted),"['zucchini', 'pistachio', 'chard', 'cashew nut', 'turnip', 'japanese pumpkin', 'hazelnut', 'dates', 'eggplant', 'dandelion']"
beetroot (n. moledules),"['green beans', 'carrot', 'potato', 'pepper', 'peas', 'cucumber', 'lettuce', 'corn', 'cabbage', 'tomato']"
beetroot (word emb.),"['dandelion', 'kohlrabi', 'chicory', 'endive', 'lovage', 'pomegranate', 'watercress', 'radish', 'sorrel', 'nigella seed']"
bergamot (weighted),"['lavender', 'myrtle', 'jasmine', 'citrus', 'citrus zest', 'sassafras', 'mace', 'citronella', 'eucalyptus', 'tangerine']"
bergamot (n. moledules),"['orange', 'lavender', 'lemon', 'mandarin orange', 'ginger', 'lime', 'tea', 'citrus zest', 'cardamom', 'citrus']"
bergamot (word emb.),"['chamomile', 'satsuma orange', 'geranium', 'angelica', 'cherry brandy', 'malt whisky', 'eucalyptus', 'sour cherry', 'elderberry', 'blackberry brandy']"
bilberry (weighted),"['cranberry', 'almond', 'lingonberry', 'walnut', 'red currant', 'brazil nut', 'chestnut', 'hazelnut', 'rhubarb', 'blueberry']"
bilberry (n. moledules),"['tea', 'cranberry', 'black currant', 'orange', 'apple', 'strawberry', 'mango', 'guava', 'tomato', 'apricot']"
bilberry (word emb.),"['wheaten bread', 'valerian', 'japanese whisky', 'pummelo', 'cloudberry', 'sapodilla', 'citronella', 'canadian whisky', 'white currant', 'feijoa']"
bitter orange (weighted),"['basmati rice', 'citrus', 'lavender', 'nut', 'bartlett pear', 'citrus zest', 'corn oil', 'fish', 'rose', 'paneer']"
bitter orange (n. moledules),"['mandarin orange', 'orange', 'cardamom', 'apple', 'tea', 'lemon', 'lime', 'grape', 'ginger', 'pear']"
bitter orange (word emb.),"['cherry brandy', 'blackberry brandy', 'prickly pear', 'sparkling wine', 'angelica', 'black currant', 'bergamot', 'chamomile', 'plum brandy', 'gooseberry']"
black currant (weighted),"['red currant', 'orange', 'black pepper', 'fig', 'peach', 'lemon', 'plum', 'apricot', 'pineapple', 'pepper']"
black currant (n. moledules),"['tea', 'guava', 'orange', 'apple', 'tomato', 'red currant', 'mango', 'ginger', 'grape', 'papaya']"
black currant (word emb.),"['gooseberry', 'red currant', 'elderberry', 'angelica', 'red raspberry', 'blackberry', 'cherry brandy', 'sour cherry', 'quince', 'black raspberry']"
black pepper (weighted),"['fennel', 'lemon', 'nutmeg', 'lime', 'laurel', 'parsley', 'sunflower', 'cumin', 'oregano', 'rosemary']"
black pepper (n. moledules),"['laurel', 'ginger', 'rosemary', 'basil', 'nutmeg', 'oregano', 'orange', 'spearmint', 'celery', 'marjoram']"
black pepper (word emb.),"['pepper', 'white pepper', 'marjoram', 'tarragon', 'fennel', 'leek', 'lentils', 'clam', 'white wine', 'green beans']"
black raspberry (weighted),"['persimmon', 'borage', 'capers', 'arrowroot', 'carob', 'sorrel', 'shallot', 'angelica', 'japanese persimmon', 'water chestnut']"
black raspberry (n. moledules),"['kiwifruit', 'green beans', 'pomegranate', 'corn', 'potato', 'broccoli', 'almond', 'tea', 'apple', 'red currant']"
black raspberry (word emb.),"['red raspberry', 'loganberry', 'raspberry brandy', 'blackberry brandy', 'elderberry', 'cherimoya', 'cherry brandy', 'white currant', 'passionfruit', 'cloudberry']"
black tea (weighted),"['green tea', 'tea', 'peanut butter', 'peanut', 'cocoa', 'chocolate', 'papaya', 'plum', 'citrus zest', 'lima beans']"
black tea (n. moledules),"['tea', 'chocolate', 'cocoa', 'white wine', 'coffee', 'tomato', 'mango', 'soybean', 'peanut', 'peanut butter']"
black tea (word emb.),"['tea', 'green tea', 'chamomile', 'cassia', 'kumquat', 'quince', 'black currant', 'lemon balm', 'angelica', 'citrus']"
blackberry (weighted),"['angelica', 'black raspberry', 'persimmon', 'borage', 'arrowroot', 'capers', 'shallot', 'sorrel', 'carob', 'water chestnut']"
blackberry (n. moledules),"['tea', 'tomato', 'apple', 'guava', 'apricot', 'strawberry', 'starfruit', 'raspberry', 'black currant', 'papaya']"
blackberry (word emb.),"['red raspberry', 'black raspberry', 'rhubarb', 'black currant', 'peach', 'raspberry brandy', 'red currant', 'gooseberry', 'rose wine', 'sparkling wine']"
blackberry brandy (weighted),"['brandy', 'cherry brandy', 'raspberry brandy', 'plum brandy', 'pear brandy', 'apple brandy', 'rose wine', 'japanese whisky', 'plum wine', 'canadian whisky']"
blackberry brandy (n. moledules),"['plum brandy', 'brandy', 'apple brandy', 'raspberry brandy', 'pear brandy', 'cherry brandy', 'rum', 'sherry', 'port wine', 'rose wine']"
blackberry brandy (word emb.),"['cherimoya', 'black raspberry', 'loganberry', 'red raspberry', 'cherry brandy', 'starfruit', 'satsuma orange', 'elderberry', 'canadian whisky', 'prickly pear']"
blue cheese (weighted),"['roquefort cheese', 'goat cheese', 'romano cheese', 'cheddar cheese', 'munster cheese', 'feta cheese', 'cream cheese', 'mozzarella cheese', 'emmental cheese', 'sheep cheese']"
blue cheese (n. moledules),"['cheddar cheese', 'parmesan cheese', 'swiss cheese', 'provolone cheese', 'gruyere cheese', 'camembert cheese', 'cottage cheese', 'romano cheese', 'cream cheese', 'feta cheese']"
blue cheese (word emb.),"['roquefort cheese', 'goat cheese', 'endive', 'camembert cheese', 'tarragon', 'chicory', 'watercress', 'horseradish', 'brussels sprout', 'gruyere cheese']"
blueberry (weighted),"['ginkgo nuts', 'cherry', 'carob', 'red raspberry', 'japanese persimmon', 'arrowroot', 'saffron', 'wheat', 'shallot', 'lemon grass']"
blueberry (n. moledules),"['tea', 'black currant', 'mango', 'orange', 'bilberry', 'guava', 'apple', 'peach', 'grape', 'apricot']"
blueberry (word emb.),"['black raspberry', 'rhubarb', 'red raspberry', 'blackberry', 'loganberry', 'raspberry brandy', 'white currant', 'elderberry', 'peach', 'kiwifruit']"
bonito (weighted),"['sake', 'wholewheat bread', 'scallop', 'yogurt', 'squid', 'shrimp', 'egg', 'buttermilk', 'milk fat', 'coffee']"
bonito (n. moledules),"['coffee', 'tea', 'chocolate', 'cocoa', 'beer', 'rice', 'potato', 'pork', 'tomato', 'soybean']"
bonito (word emb.),"['burdock', 'sake', 'lotus', 'kelp', 'wasabi', 'soybean', 'oyster', 'mung bean', 'peanut oil', 'shiitake']"
borage (weighted),"['capers', 'arrowroot', 'wasabi', 'water chestnut', 'shallot', 'carob', 'black raspberry', 'kelp', 'persimmon', 'japanese persimmon']"
borage (n. moledules),"['sour cherry', 'elderberry', 'grape', 'melon', 'corn', 'chicory', 'apple', 'sunflower', 'red raspberry', 'tomato']"
borage (word emb.),"['lemon balm', 'bergamot', 'elderberry', 'grapefruit zest', 'geranium', 'black currant', 'sparkling wine', 'kumquat', 'citrus zest', 'chamomile']"
bourbon whisky (weighted),"['canadian whisky', 'scotch whisky', 'malt whisky', 'whisky', 'japanese whisky', 'plum wine', 'rose wine', 'port wine', 'champagne', 'red wine']"
bourbon whisky (n. moledules),"['scotch whisky', 'malt whisky', 'japanese whisky', 'canadian whisky', 'whisky', 'rum', 'beer', 'sherry', 'white wine', 'cocoa']"
bourbon whisky (word emb.),"['pummelo', 'valerian', 'sapodilla', 'wild cherry', 'canadian whisky', 'japanese whisky', 'bilberry', 'citronella', 'white currant', 'plumcot']"
brandy (weighted),"['blackberry brandy', 'cherry brandy', 'raspberry brandy', 'pear brandy', 'plum brandy', 'apple brandy', 'rose wine', 'plum wine', 'canadian whisky', 'japanese whisky']"
brandy (n. moledules),"['apple brandy', 'cherry brandy', 'plum brandy', 'raspberry brandy', 'pear brandy', 'blackberry brandy', 'sherry', 'rum', 'white wine', 'port wine']"
brandy (word emb.),"['red currant', 'port wine', 'quince', 'apple brandy', 'mace', 'fig', 'scotch whisky', 'black currant', 'cherry brandy', 'kumquat']"
brazil nut (weighted),"['pistachio', 'hazelnut', 'cashew nut', 'zucchini', 'brussels sprout', 'lentils', 'chickpea', 'beetroot', 'watercress', 'japanese pumpkin']"
brazil nut (n. moledules),"['tea', 'peas', 'cranberry', 'peanut butter', 'peanut', 'corn', 'grape', 'potato', 'banana', 'buckwheat']"
brazil nut (word emb.),"['carob', 'pistachio', 'dates', 'hazelnut', 'macadamia nut', 'persimmon', 'sour cherry', 'angelica', 'fig', 'popcorn']"
bread (weighted),"['flaxseed', 'artichoke', 'cassava', 'sweet potato', 'sesame', 'endive', 'alfalfa', 'poppy seed', 'chervil', 'radish']"
bread (n. moledules),"['chocolate', 'cocoa', 'apple', 'guava', 'tea', 'tomato', 'rice', 'papaya', 'mushroom', 'grape']"
bread (word emb.),"['white bread', 'ricotta cheese', 'provolone cheese', 'romano cheese', 'cottage cheese', 'artichoke', 'capers', 'swiss cheese', 'parmesan cheese', 'mozzarella cheese']"
broccoli (weighted),"['wheat', 'cauliflower', 'zucchini', 'brussels sprout', 'cucumber', 'eggplant', 'beetroot', 'pistachio', 'chard', 'turnip']"
broccoli (n. moledules),"['cabbage', 'cauliflower', 'tea', 'tomato', 'green beans', 'potato', 'grape', 'pepper', 'peas', 'carrot']"
broccoli (word emb.),"['water chestnut', 'peas', 'green beans', 'cabbage', 'leek', 'asparagus', 'soybean', 'shiitake', 'mung bean', 'spinach']"
brussels sprout (weighted),"['pistachio', 'cashew nut', 'hazelnut', 'zucchini', 'lentils', 'cauliflower', 'japanese pumpkin', 'chickpea', 'beetroot', 'brazil nut']"
brussels sprout (n. moledules),"['cabbage', 'broccoli', 'cauliflower', 'green beans', 'tomato', 'beans', 'peas', 'black currant', 'potato', 'peanut butter']"
brussels sprout (word emb.),"['parsnip', 'rutabaga', 'camembert cheese', 'endive', 'dandelion', 'truffle', 'chestnut', 'sage', 'roquefort cheese', 'rosemary']"
buckwheat (weighted),"['rice', 'brazil nut', 'red currant', 'soybean', 'walnut', 'almond', 'sesame', 'dates', 'sweet potato', 'lingonberry']"
buckwheat (n. moledules),"['tea', 'rice', 'tomato', 'soybean', 'mushroom', 'potato', 'chocolate', 'cocoa', 'grape', 'mango']"
buckwheat (word emb.),"['flaxseed', 'carob', 'arrowroot', 'safflower', 'milk powder', 'hops', 'rye', 'malt', 'whisky', 'soybean']"
burdock (weighted),"['wasabi', 'water chestnut', 'kelp', 'borage', 'carob', 'arrowroot', 'capers', 'japanese persimmon', 'jackfruit', 'shallot']"
burdock (n. moledules),"['laurel', 'celery', 'tea', 'guava', 'peppermint', 'papaya', 'black pepper', 'oregano', 'strawberry', 'tomato']"
burdock (word emb.),"['lotus', 'bonito', 'kelp', 'sake', 'soybean', 'shiitake', 'plum wine', 'mung bean', 'soybean oil', 'wasabi']"
butter (weighted),"['milk', 'cheese', 'rum', 'gruyere cheese', 'honey', 'swiss cheese', 'parmesan cheese', 'blue cheese', 'egg', 'cheddar cheese']"
butter (n. moledules),"['tea', 'beer', 'apple', 'tomato', 'parmesan cheese', 'white wine', 'mango', 'rice', 'papaya', 'mushroom']"
butter (word emb.),"['milk', 'gruyere cheese', 'ricotta cheese', 'brandy', 'chestnut', 'nutmeg', 'truffle', 'port wine', 'cream cheese', 'egg']"
buttermilk (weighted),"['cod', 'turkey', 'milk powder', 'soy sauce', 'oyster', 'wholewheat bread', 'yogurt', 'gin', 'sake', 'rye bread']"
buttermilk (n. moledules),"['cheddar cheese', 'blue cheese', 'rice', 'egg', 'chicken', 'beer', 'pork', 'potato', 'tomato', 'asparagus']"
buttermilk (word emb.),"['milk', 'oats', 'pecan', 'chocolate', 'walnut', 'pumpkin', 'milk powder', 'apple', 'vanilla', 'cream cheese']"
cabbage (weighted),"['brussels sprout', 'cauliflower', 'beetroot', 'pistachio', 'zucchini', 'cashew nut', 'japanese pumpkin', 'cucumber', 'radish', 'eggplant']"
cabbage (n. moledules),"['tea', 'tomato', 'potato', 'pepper', 'green beans', 'apple', 'carrot', 'broccoli', 'orange', 'cauliflower']"
cabbage (word emb.),"['soybean', 'mung bean', 'peas', 'chicken', 'kohlrabi', 'radish', 'soy sauce', 'burdock', 'kelp', 'water chestnut']"
camembert cheese (weighted),"['comte cheese', 'provolone cheese', 'roquefort cheese', 'munster cheese', 'romano cheese', 'emmental cheese', 'goat cheese', 'cream cheese', 'mozzarella cheese', 'sheep cheese']"
camembert cheese (n. moledules),"['gruyere cheese', 'blue cheese', 'cheddar cheese', 'swiss cheese', 'comte cheese', 'provolone cheese', 'limburger cheese', 'feta cheese', 'emmental cheese', 'romano cheese']"
camembert cheese (word emb.),"['roquefort cheese', 'comte cheese', 'gruyere cheese', 'goat cheese', 'blue cheese', 'truffle', 'emmental cheese', 'winter savory', 'endive', 'brussels sprout']"
canadian whisky (weighted),"['scotch whisky', 'bourbon whisky', 'japanese whisky', 'malt whisky', 'whisky', 'rose wine', 'plum wine', 'port wine', 'champagne', 'red wine']"
canadian whisky (n. moledules),"['scotch whisky', 'malt whisky', 'bourbon whisky', 'japanese whisky', 'whisky', 'rum', 'beer', 'sherry', 'white wine', 'red wine']"
canadian whisky (word emb.),"['wild cherry', 'japanese whisky', 'valerian', 'bilberry', 'pummelo', 'soursop', 'cherimoya', 'feijoa', 'white currant', 'citronella']"
canola oil (weighted),"['artichoke', 'shiitake', 'chervil', 'jackfruit', 'alfalfa', 'wasabi', 'feijoa', 'water chestnut', 'cassava', 'pumpkin']"
canola oil (n. moledules),"['guava', 'mango', 'tea', 'tomato', 'apple', 'orange', 'coriander', 'rice', 'chocolate', 'soybean']"
canola oil (word emb.),"['corn oil', 'peanut oil', 'safflower', 'soybean oil', 'bonito', 'wasabi', 'sake', 'tamarind', 'soybean', 'coconut']"
capers (weighted),"['borage', 'arrowroot', 'shallot', 'wasabi', 'water chestnut', 'carob', 'black raspberry', 'kelp', 'persimmon', 'japanese persimmon']"
capers (n. moledules),"['horseradish', 'plum', 'corn', 'fig', 'potato', 'garden cress', 'broccoli', 'carrot', 'peach', 'dandelion']"
capers (word emb.),"['artichoke', 'feta cheese', 'romano cheese', 'fennel', 'chervil', 'cod', 'goat cheese', 'provolone cheese', 'plum', 'tarragon']"
caraway (weighted),"['asafoetida', 'nigella seed', 'tangerine', 'mace', 'rose', 'basmati rice', 'gin', 'clam', 'lavender', 'bitter orange']"
caraway (n. moledules),"['celery', 'dill', 'spearmint', 'lemon', 'black pepper', 'orange', 'mandarin orange', 'thyme', 'peppermint', 'coriander']"
caraway (word emb.),"['rye bread', 'rye', 'rutabaga', 'horseradish', 'beetroot', 'parsnip', 'beer', 'malt', 'lovage', 'dill']"
cardamom (weighted),"['coriander', 'ginger', 'lime', 'lemon', 'nutmeg', 'oregano', 'summer savory', 'fennel', 'dill', 'cumin']"
cardamom (n. moledules),"['ginger', 'lemon', 'laurel', 'black pepper', 'dill', 'coriander', 'nutmeg', 'lime', 'celery', 'orange']"
cardamom (word emb.),"['fenugreek', 'basmati rice', 'anise', 'cassia', 'allspice', 'mace', 'nigella seed', 'cinnamon', 'turmeric', 'curry leaf']"
carob (weighted),"['japanese persimmon', 'borage', 'arrowroot', 'capers', 'wasabi', 'water chestnut', 'black raspberry', 'burdock', 'shallot', 'ginkgo nuts']"
carob (n. moledules),"['grape', 'pineapple', 'banana', 'apple', 'black currant', 'peanut butter', 'buckwheat', 'pepper', 'apricot', 'red raspberry']"
carob (word emb.),"['flaxseed', 'brazil nut', 'milk powder', 'licorice', 'arrowroot', 'dates', 'oats', 'popcorn', 'hops', 'buckwheat']"
carrot (weighted),"['celery', 'fennel', 'parsley', 'parsnip', 'pepper', 'dill', 'coriander', 'black pepper', 'pomegranate', 'lemon']"
carrot (n. moledules),"['orange', 'ginger', 'celery', 'pepper', 'tomato', 'black pepper', 'laurel', 'tea', 'dill', 'coriander']"
carrot (word emb.),"['okra', 'rutabaga', 'turnip', 'green beans', 'summer savory', 'lima beans', 'leek', 'barley', 'pork', 'parsnip']"
cashew nut (weighted),"['pistachio', 'lentils', 'mung bean', 'japanese pumpkin', 'zucchini', 'hazelnut', 'chickpea', 'brussels sprout', 'dates', 'beetroot']"
cashew nut (n. moledules),"['carrot', 'orange', 'fig', 'black currant', 'walnut', 'plum', 'olive oil', 'pepper', 'tea', 'pomegranate']"
cashew nut (word emb.),"['basmati rice', 'curry leaf', 'tamarind', 'jasmine', 'asafoetida', 'nigella seed', 'paneer', 'mustard oil', 'mung bean', 'cassia']"
cassava (weighted),"['alfalfa', 'chervil', 'artichoke', 'pumpkin', 'rye', 'dates', 'japanese pumpkin', 'lentils', 'mung bean', 'garden cress']"
cassava (n. moledules),"['tomato', 'melon', 'tea', 'soybean', 'guava', 'mushroom', 'banana', 'cabbage', 'apple', 'grapefruit']"
cassava (word emb.),"['jackfruit', 'pawpaw', 'japanese pumpkin', 'starfruit', 'durian', 'lemon grass', 'kiwifruit', 'fish oil', 'tamarind', 'curry leaf']"
cassia (weighted),"['summer savory', 'allspice', 'cumin', 'cinnamon', 'turmeric', 'basil', 'black pepper', 'anise', 'lime', 'nutmeg']"
cassia (n. moledules),"['cinnamon', 'tea', 'laurel', 'basil', 'black pepper', 'ginger', 'pepper', 'nutmeg', 'guava', 'black currant']"
cassia (word emb.),"['black tea', 'curry leaf', 'anise', 'mustard oil', 'nigella seed', 'quince', 'tea', 'mace', 'asafoetida', 'gooseberry']"
cauliflower (weighted),"['brussels sprout', 'broccoli', 'pistachio', 'wheat', 'cashew nut', 'avocado', 'hazelnut', 'macadamia nut', 'zucchini', 'radish']"
cauliflower (n. moledules),"['cabbage', 'broccoli', 'tea', 'tomato', 'peas', 'green beans', 'black currant', 'grape', 'beans', 'mango']"
cauliflower (word emb.),"['lentils', 'macaroni', 'potato', 'turnip', 'peas', 'green beans', 'rutabaga', 'chicken', 'parsnip', 'fenugreek']"
caviar (weighted),"['fatty fish', 'wild cherry', 'truffle', 'milk fat', 'plum brandy', 'peanut oil', 'malt', 'butter', 'mate', 'swiss cheese']"
